x,y,z
-7.27678,-8.9142,22.9711
-7.44603,-9.19207,23.0243
-7.62566,-9.47057,23.1124
-7.81463,-9.74721,23.2363
-8.01175,-10.0192,23.3967
-8.21563,-10.2833,23.5939
-8.42474,-10.5363,23.8279
-8.63733,-10.7743,24.0981
-8.85146,-10.9935,24.4034
-9.06499,-11.1898,24.7421
-9.27561,-11.359,25.1116
-9.48081,-11.4971,25.5088
-9.67796,-11.6002,25.9297
-9.86432,-11.6647,26.3695
-10.0371,-11.6876,26.8227
-10.1935,-11.6666,27.283
-10.3308,-11.6001,27.7437
-10.4465,-11.4875,28.1977
-10.5383,-11.3294,28.6375
-10.6042,-11.1273,29.0558
-10.6425,-10.8841,29.4454
-10.6522,-10.6034,29.7999
-10.6326,-10.2903,30.1133
-10.5838,-9.95023,30.3807
-10.5062,-9.58952,30.5981
-10.4009,-9.21476,30.7631
-10.2696,-8.8327,30.874
-10.1143,-8.44998,30.9307
-9.93762,-8.07288,30.9342
-9.74237,-7.70717,30.8862
-9.53165,-7.35794,30.7897
-9.30873,-7.02951,30.648
-9.07692,-6.72539,30.4652
-8.83951,-6.44823,30.2456
-8.5997,-6.19992,29.9936
-8.36053,-5.98161,29.7138
-8.12482,-5.7938,29.4105
-7.89514,-5.63644,29.0881
-7.6738,-5.50904,28.7505
-7.46282,-5.41076,28.4014
-7.26392,-5.34051,28.0444
-7.07858,-5.29706,27.6826
-6.90797,-5.27906,27.3188
-6.75307,-5.28513,26.9558
-6.6146,-5.31395,26.5958
-6.49309,-5.36421,26.241
-6.38892,-5.4347,25.8935
-6.3023,-5.52433,25.555
-6.23334,-5.63208,25.2274
-6.18203,-5.75705,24.9123
-6.1483,-5.89846,24.6111
-6.13201,-6.05558,24.3255
-6.13295,-6.22779,24.0569
-6.15089,-6.41449,23.8068
-6.18557,-6.61515,23.5768
-6.2367,-6.82921,23.3683
-6.30397,-7.0561,23.1828
-6.38701,-7.29521,23.022
-6.48548,-7.54584,22.8874
-6.59894,-7.80715,22.7807
-6.72696,-8.07818,22.7034
-6.869,-8.35777,22.6572
-7.0245,-8.64452,22.6437
-7.19277,-8.93679,22.6645
-7.37302,-9.23262,22.721
-7.56436,-9.52976,22.8146
-7.76573,-9.82558,22.9463
-7.9759,-10.1171,23.1171
-8.19347,-10.401,23.3274
-8.41683,-10.6735,23.5773
-8.64415,-10.9306,23.8664
-8.8734,-11.168,24.1937
-9.10229,-11.3812,24.5573
-9.32832,-11.5656,24.9549
-9.54881,-11.7165,25.3829
-9.76088,-11.8296,25.8371
-9.96155,-11.9009,26.3124
-10.1477,-11.9268,26.8027
-10.3163,-11.9046,27.3011
-10.4644,-11.8325,27.8002
-10.589,-11.7097,28.2921
-10.6877,-11.5368,28.7685
-10.7582,-11.3155,29.2211
-10.7987,-11.049,29.6421
-10.8079,-10.7415,30.0242
-10.7853,-10.3986,30.3607
-10.7307,-10.0266,30.6464
-10.6448,-9.63258,30.8769
-10.5288,-9.22399,31.0496
-10.3845,-8.80843,31.1631
-10.2144,-8.3933,31.2172
-10.0213,-7.98555,31.2134
-9.8084,-7.59151,31.154
-9.57913,-7.2167,31.0423
-9.33713,-6.8657,30.8825
-9.08606,-6.54216,30.679
-8.82954,-6.24877,30.4368
-8.57104,-5.98733,30.1608
-8.31385,-5.75881,29.8562
-8.061,-5.5635,29.5276
-7.81521,-5.40107,29.1798
-7.57892,-5.27074,28.817
-7.35422,-5.17139,28.4431
-7.1429,-5.10165,28.0618
-6.94642,-5.06001,27.6763
-6.76597,-5.04489,27.2896
-6.60247,-5.05472,26.9044
-6.45661,-5.08798,26.523
-6.32887,-5.14324,26.1475
-6.21956,-5.21918,25.7801
-6.12883,-5.31462,25.4224
-6.05671,-5.42852,25.0762
-6.00315,-5.55994,24.7431
-5.96801,-5.7081,24.4246
-5.9511,-5.87232,24.1223
-5.95217,-6.05201,23.8375
-5.97097,-6.24663,23.5719
-6.00721,-6.45572,23.3268
-6.06057,-6.67882,23.1039
-6.13075,-6.91545,22.9047
-6.2174,-7.16508,22.7308
-6.32016,-7.42714,22.5839
-6.43866,-7.70089,22.4657
-6.57246,-7.98546,22.378
-6.72109,-8.27979,22.3225
-6.884,-8.58256,22.3011
-7.06057,-8.89219,22.3154
-7.25006,-9.20676,22.3671
-7.4516,-9.52401,22.4579
-7.66418,-9.84127,22.5892
-7.88659,-10.1555,22.762
-8.11745,-10.4631,22.9773
-8.35515,-10.7603,23.2353
-8.59782,-11.0426,23.536
-8.84336,-11.3054,23.8785
-9.0894,-11.5438,24.2614
-9.33331,-11.7525,24.6821
